,Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,Times Missed,Damages
3830,77890,06/25/18,Trash - Curbside/Alley Missed Pickup,missed,1814 elliott ave,37203,waste ind,2408,17.0,1737512.79390901,657032.798678391,1.0,0.0
3831,77922,06/25/18,Trash - Curbside/Alley Missed Pickup,missed.,2775 couchville pike,37217,red river,2504,29.0,1781543.54247271,648025.698194781,2.0,200.0
3832,77978,06/25/18,Trash - Curbside/Alley Missed Pickup,missed...also missed neighboring addresses. there is a concrete pad behind address for several neighboring addresses that were missed as well. there is a total of 4 carts. property is next to rose pepper and carts are in rear..,1917 eastland ave,37206,metro,9503,6.0,1751561.56821512,673999.8644521,1.0,0.0
3833,77980,06/25/18,Trash - Curbside/Alley Missed Pickup,missed.,2315 abbott martin rd,37215,red river,3304,34.0,1725171.53215978,646494.496854213,1.0,0.0
3834,78079,06/26/18,Trash - Curbside/Alley Missed Pickup,missed.,3858 priest lake dr,37217,red river,3501,29.0,1789381.60420818,643952.248965243,1.0,0.0
3835,78081,06/26/18,Trash Collection Complaint,"this is my second complaint in the past three years i have at this address . the complaint was originally resolved and now the issue is back again:

for the past few months, the trash man has not emptied the entire bin & has not closed the lid to the bin. they do not pick up the bin and dump it, instead, they open the lid and pull bags out and then leave with the lid open.

for months, this trash bag and house vent have been in my trash bin. people who walk the alleys throw their trash (bottles, etc.) in bins (as you can see via the image). they also throw their dog bags of feces. then, when it rains, because the lid was left wide open, it collects water. the water mixes with the feces and it becomes a breeding ground for insects, especially misquotes. this is a public health issue.  it is unacceptable that the trash man does not (1) dump the entire bin nor (2) close the lid. 

please make sure that my bin is dumped in full for tomorrow's pick-up. the bin has become disgusting. i used to clean it myself the first year; however, this should not be an issue.

sincerely,

anna kathleen garr
annagarr@gmail.com
615-574-1879",1805 beechwood ave,37212,metro,9308,18.0,1732579.43028211,653586.974349915,2.0,200.0
3836,78086,06/26/18,Trash Collection Complaint,trash man doesn't empty cart all the way and leaves lid open causing mesquitos 2nd time she has called wants a call on what is going to be done to get this resolved,1805 beechwood ave,<NA>,metro,9308,,1732578.9249145,653587.055262111,2.0,200.0
3837,78092,06/26/18,Trash - Curbside/Alley Missed Pickup,trash {alley} has 2 carts and leaving 2nd cart full 2 weeks now.,2101 14th ave n,37208,metro,9205,2.0,1729609.9337277,675142.502659015,1.0,0.0
3838,78178,06/26/18,Trash - Curbside/Alley Missed Pickup,missed for 2 weeks,1147 eastdale pl,37216,red river,2203,7.0,1755806.13652937,688869.503191706,3.0,400.0
3839,78191,06/26/18,Trash - Curbside/Alley Missed Pickup,one missed cart of two,1427 inglewood cir n,37216,red river,1205,7.0,1756086.81046108,683503.92653442,1.0,0.0
3840,78193,06/26/18,Trash - Curbside/Alley Missed Pickup,missed.,1508 litton ave,37216,metro,9505,7.0,1754171.34534435,680398.901507559,1.0,0.0
3841,78195,06/26/18,Trash - Curbside/Alley Missed Pickup,missed.,1510 litton ave,37216,metro,9505,7.0,1754218.3468036,680385.501352662,1.0,0.0
3842,78239,06/26/18,Trash Collection Complaint,cust says that the drivers are lazy and careless when emptying the cans in which oftentimes garbage is still in the carts; the drivers also place the trash carts in the middle of the alley and blocks passage through the alley,1102 n 8th st b,37207,metro,9203,5.0,1744647.20824112,676866.356107719,1.0,0.0
3843,78241,06/26/18,Trash - Backdoor,"backdoor/trash missed tuesday, neighbor also has backdoor they emptied there's.",4328 golden hill dr,37218,red river,3203,1.0,1715984.85317807,687716.508002642,2.0,200.0
3844,78260,06/26/18,Trash - Curbside/Alley Missed Pickup,missed again.,639 james ave,37209,red river,4203S,20.0,1710165.7785359,666501.438773423,4.0,600.0
3845,78278,06/26/18,Trash - Curbside/Alley Missed Pickup,curb/trash always gets missed tuesday.,2105 23rd ave n,37208,metro,9205,21.0,1728145.31776259,674494.805410992,4.0,600.0
3846,78292,06/26/18,Trash - Curbside/Alley Missed Pickup,the court and circle both missed,212 hodge cir,37218,red river,3203,1.0,1718751.53006875,688496.902801807,2.0,200.0
3847,78295,06/26/18,Trash - Curbside/Alley Missed Pickup,trash missed,1601 dr d b todd jr blvd,37208,red river,3206,21.0,1729769.54428383,670949.572099615,2.0,200.0
3848,78305,06/26/18,Trash - Curbside/Alley Missed Pickup,miss,1715 23rd ave n,37208,metro,9201,21.0,1728200.33320034,672368.902082893,1.0,0.0
3849,78307,06/26/18,Trash - Curbside/Alley Missed Pickup,miss,1905 28th ave n,37208,metro,9201,21.0,1725579.11882338,674541.12023466,2.0,200.0
3850,78311,06/26/18,Trash - Curbside/Alley Missed Pickup,miss; the whole entire neighborhood was missed,138 southridge dr,37207,red river,2202,2.0,1743396.99094797,692508.427234857,1.0,0.0
3851,78312,06/26/18,Trash - Curbside/Alley Missed Pickup,cart still out,2710 buchanan st,37208,metro,9201,21.0,1725625.53457232,673560.2019768,3.0,400.0
3852,78316,06/26/18,Trash - Backdoor,missed for 2 weeks in a row.,1816 knowles st,37208,metro,9208,21.0,1729682.03575456,670407.900606729,8.0,1400.0
3853,78317,06/26/18,Trash - Curbside/Alley Missed Pickup,missed pick up -,2405 seifried st,37208,metro,9205,21.0,1727463.56976734,674041.298576345,3.0,400.0
3854,78322,06/26/18,Trash - Curbside/Alley Missed Pickup,"recycling was collected, but not trash.",2307 st louis st,37208,metro,9205,21.0,1727916.8027766,673589.13143693,1.0,0.0
3855,78323,06/26/18,Trash - Curbside/Alley Missed Pickup,our trash is usually picked up in the afternoon. i am disabled and i had my son set our trash out by the side of the road at 7am even other neighbors set their trash out around the same time.,5136 buena vista pike,37218,red river,3201,3.0,1724655.07202679,693867.234579097,1.0,0.0
3856,78331,06/26/18,Trash - Curbside/Alley Missed Pickup,"the trash pickup is on the alley for our block, and it appears no trash was picked up. i previous request was placed, and closed, but the trash was still not picked up. i am concerned because our pickup is on thursday, and we have gone two weeks without a pickup before. please inform whomever manages this route that the ally was missed last week.",857 bradford ave,37204,metro,9404,17.0,1737346.51287298,653953.762823176,3.0,400.0
3857,78332,06/26/18,Trash - Curbside/Alley Missed Pickup,this happens frequently and we often just put it out again next week. is there something else we should be doing?,5116 buena vista pike,37218,red river,3201,3.0,1724745.85154836,693329.134852065,4.0,600.0
3858,78354,06/27/18,Trash - Curbside/Alley Missed Pickup,"trash/tuesday miss every other week, why? curbside, 2 carts out.",1314 rosedale ave,37207,metro,9203,5.0,1744928.63979741,678531.520218319,3.0,400.0
3859,78360,06/27/18,Trash - Curbside/Alley Missed Pickup,missed- trash- curbside tuesday pick up.,1203 plymouth ave,37216,red river,2203,7.0,1756504.64401106,688575.715697532,5.0,800.0
3860,78361,06/27/18,Trash - Curbside/Alley Missed Pickup,trash/curbside miss pickup tuesday,1205 plymouth ave,37216,red river,2203,7.0,1756588.13609554,688549.10453766,4.0,600.0
3861,78413,06/27/18,Trash - Curbside/Alley Missed Pickup,entire alley was missed,1525 21st ave n,37208,metro,9208,21.0,1729195.16487661,671092.663496536,2.0,200.0
3862,78418,06/27/18,Trash - Curbside/Alley Missed Pickup,"curbside trash miss tuesday, dead end street",465 ewing ln,37207,red river,3201,2.0,1735334.73436963,691978.505315795,1.0,0.0
3863,78421,06/27/18,Trash - Curbside/Alley Missed Pickup,the whole street was missed,140 southridge dr,37207,red river,2202,2.0,1743298.82719793,692478.878047642,1.0,0.0
3864,78424,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,2317 23rd ave n b,37208,metro,9205,2.0,1728167.15731931,676468.271092825,1.0,0.0
3865,78426,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,2317 23rd ave n a,37208,metro,9205,2.0,1728167.15731931,676468.271092825,1.0,0.0
3866,78430,06/27/18,Trash - Curbside/Alley Missed Pickup,missed,901 free silver rd,37207,red river,3202,2.0,1733508.32413574,682619.880188187,1.0,0.0
3867,78446,06/27/18,Trash - Backdoor,missed- trash,1606 22nd ave n,37208,metro,9208,21.0,1728873.56126127,671463.01898836,5.0,800.0
3868,78452,06/27/18,Trash - Curbside/Alley Missed Pickup,missed- trash,3841 crouch dr,37207,red river,3205,2.0,1727319.89816989,687224.803846593,1.0,0.0
3869,78462,06/27/18,Trash - Curbside/Alley Missed Pickup,missed trash in the alley,1123 n 6th st a,37207,metro,9203,5.0,1744061.65818899,677464.300585816,5.0,800.0
3870,78463,06/27/18,Trash - Curbside/Alley Missed Pickup,missed- trash- trailer a - 21,2510 dickerson pike,37207,waste ind,2207,2.0,1742469.47397502,684607.992666109,3.0,400.0
3871,78467,06/27/18,Trash - Curbside/Alley Missed Pickup,missed- trash,101 guill ct,37214,red river,1505,15.0,1774806.95688298,669960.81652795,2.0,200.0
3872,78470,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,631 rowan ct,37207,red river,3205,2.0,1729682.6095503,688319.026258973,1.0,0.0
3873,78472,06/27/18,Trash - Curbside/Alley Missed Pickup,curbside trash miss tuesday {no unit number},4049 meadow hill dr,37218,red river,3204,1.0,1725037.112991,688961.089965083,1.0,0.0
3874,78475,06/27/18,Trash - Curbside/Alley Missed Pickup,trash/missed often tuesday's alley way. units a & b both being miss.,895 sharpe ave,37206,metro,9203,5.0,1746003.53336147,676966.50085278,1.0,0.0
3875,78498,06/27/18,Trash - Curbside/Alley Missed Pickup,"alley/trash miss again, other carts missed.  everything is in bags.",1124 n 7th st,37207,metro,9203,5.0,1744300.21652617,677404.199699383,4.0,600.0
3876,78524,06/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up,316 rosebank ave,37206,red river,1202,6.0,1754923.08574192,675540.035378641,4.0,600.0
3877,78526,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,3715 ezell rd,37211,red river,1405,28.0,1763703.76496673,635194.200832463,1.0,0.0
3878,78530,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,4017 ivy dr,37216,red river,1204,7.0,1759633.13730495,684917.702112459,1.0,0.0
3879,78532,06/27/18,Trash - Curbside/Alley Missed Pickup,missed again,1368 rosedale ct,37207,metro,9203,5.0,1744702.51273423,678671.610514178,5.0,800.0
3880,78546,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,5324 buena vista pike,37218,red river,3201,3.0,1724237.93777857,697014.027092754,1.0,0.0
3881,78553,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,5307 centennial blvd,37209,metro,9302,20.0,1716686.45581863,667611.376081705,1.0,0.0
3882,78563,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,15 hermitage ave,37210,waste ind,4507,19.0,1741256.44339619,664667.661668452,16.0,3000.0
3883,78565,06/27/18,Trash - Curbside/Alley Missed Pickup,curbside trash miss pickup tuesday.,2428 eastland ave,37206,red river,1201,6.0,1756349.13570462,673256.901853331,3.0,400.0
3884,78566,06/27/18,Trash - Curbside/Alley Missed Pickup,missed; unit b,2240 herman st,37208,metro,9303,21.0,1729005.834498,666774.301749572,2.0,200.0
3885,78576,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,403 matthews ct,37207,waste ind,2206,2.0,1735881.45161022,684637.07644685,1.0,0.0
3886,78586,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,632 rowan ct,37207,red river,3205,2.0,1729731.53238407,688427.551288864,1.0,0.0
3887,78630,06/27/18,Trash - Curbside/Alley Missed Pickup,missed..alley pick up...others missed as well.,1616 7th ave n,37208,waste ind,3207,19.0,1734107.72962885,673411.415920216,2.0,200.0
3888,78643,06/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up,3231 lincoln ave,37218,red river,4204,2.0,1723369.71034983,681294.888146742,4.0,600.0
3889,78658,06/27/18,Trash - Curbside/Alley Missed Pickup,"left the cart out last night in the same place we always do. trash was picked up at other houses in the neighborhood, but they missed ours.",404 bowling ave a,37205,red river,2304,24.0,1724538.20266685,654069.545910634,1.0,0.0
3890,78666,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,2800 marlin ave,37215,red river,2304,24.0,1727623.66750738,653629.491713165,1.0,0.0
3891,78668,06/27/18,Trash - Curbside/Alley Missed Pickup,"corner of douglas ave and that's where cart sits, not on n 7th st. having issues for past weeks with the driver picking up the trash. trash collected- curbside says trash only gets pickup every other week. coming from dickerson rd - the driver collects everybody on the left side but will not collect her side.",610 douglas ave,37207,metro,9203,5.0,1744405.79642813,678080.511394097,5.0,800.0
3892,78669,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,4636 mountainview dr,37215,red river,3303,34.0,1727209.9328128,636611.294844265,3.0,400.0
3893,78673,06/27/18,Trash - Curbside/Alley Missed Pickup,missed,1601 s observatory dr,37215,red river,3305,25.0,1731621.8312364,645571.303329742,15.0,2800.0
3894,78683,06/27/18,Trash - Backdoor,missed.,6004 elizabethan dr,37205,red river,1305,23.0,1709497.92963905,654280.899089651,3.0,400.0
3895,78685,06/27/18,Trash Collection Complaint,caller states trash collection truck passed by his cart twice without collecting trash. cart was 1st placed on one side and passed then he took cart across street where the truck passed again without collecting. caller stated his cart does not look like the neighbors carts but it appears to a metro issued cart. cart reads toter inc. nashville curbside. please notify if this is not correct cart. caller states cart was at property when he moved there and has been picked up for the last 5yrs without issue.,263 morton ave,37211,red river,4304,16.0,1750015.53430525,646038.497868266,3.0,400.0
3896,78687,06/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up,209 errol ln,37209,red river,4203S,20.0,1710851.86567849,667327.422192795,1.0,0.0
3897,78692,06/27/18,Trash - Curbside/Alley Missed Pickup,missed,1528 harwood dr,37206,red river,1203,7.0,1756386.89371906,678568.858820525,2.0,200.0
3898,78694,06/27/18,Trash - Curbside/Alley Missed Pickup,missed pick up..,2002 olga ave,37216,red river,1204,7.0,1758948.25324704,684431.093646293,1.0,0.0
3899,78699,06/27/18,Trash - Curbside/Alley Missed Pickup,miss,6701 darden pl,37205,red river,1305,23.0,1709410.72968964,656093.699445462,1.0,0.0
3900,78702,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,3315 walton ln b,37216,red river,2204,8.0,1747701.00171247,693539.943966349,1.0,0.0
3901,78706,06/27/18,Trash - Curbside/Alley Missed Pickup,missed.,226 craighead ave,37205,red river,2304,24.0,1724233.93089385,654870.50000704,1.0,0.0
3902,78707,06/27/18,Trash - Curbside/Alley Missed Pickup,miss; unit b,316 radnor st b,37211,red river,4304,16.0,1749520.33604925,645951.297921544,2.0,200.0
3903,78713,06/27/18,Trash - Backdoor,has been missed for the past 3 months every other week. called red river directly and he said they told him cart was blocked and it has not been. he needs the problem resolved.,1035 battery ln,37220,red river,3302,34.0,1733409.93441064,639848.896575701,1.0,0.0
3904,78715,06/27/18,Trash - Backdoor,missed again,64 e thompson ln,37211,red river,4304,16.0,1753310.73570813,647698.498473472,7.0,1200.0
3905,78718,06/27/18,Trash - Backdoor,"trash missed pick - unit b
backdoor",2833 georgia ave,37209,metro,9303,21.0,1726030.87530968,664837.917147822,1.0,0.0
3906,78723,06/27/18,Trash - Curbside/Alley Missed Pickup,everyone on my streets was picked up but mine.  it is always out on time and always only has recyclables in it. please pick it up immediately.,800 point break cir s,37013,red river,4310,33.0,1795601.97021783,626133.51615693,1.0,0.0
3907,78725,06/27/18,Trash - Curbside/Alley Missed Pickup,they missed a few houses on my street tuesday. not normal crew with automated truck.,1200 plymouth ave,37216,red river,2203,7.0,1756597.13240925,688581.516735819,1.0,0.0
3908,78727,06/27/18,Trash - Curbside/Alley Missed Pickup,"nes trucks were blocking our side street at about the time our trash is normally picked up.
my bin is full.  i would really appreciate a pick up this week if possible.     thanks so much",1605 shackleford rd,37215,red river,3302,25.0,1731319.85842447,644412.486178732,1.0,0.0
3909,78732,06/27/18,Trash - Curbside/Alley Missed Pickup,they missed us today.,2005 beechwood ave,37212,metro,9308,18.0,1731508.99641739,653740.730485889,3.0,400.0
3910,78736,06/27/18,Trash - Curbside/Alley Missed Pickup,"this is recycling, not trash.",512 hemstead st,37209,red river,4201,20.0,1715972.20302944,663740.892086412,1.0,0.0
3911,78741,06/27/18,Trash - Curbside/Alley Missed Pickup,they just forgot! please pick up!!!!,106 lexington ct,37215,red river,3304,34.0,1722389.91168316,644814.496935233,1.0,0.0
3912,78742,06/27/18,Trash - Curbside/Alley Missed Pickup,i have two trash cans that were not emptied. my address is 1403 54th avenue north 37209.,1301 54th ave n,37209,metro,9302,20.0,1716659.52659918,666336.948469226,2.0,200.0
3913,78743,06/27/18,Trash - Curbside/Alley Missed Pickup,neither trash nor recycle was picked up today.,3611 caldwell ct,37204,red river,4305,25.0,1737671.83601784,646286.851940193,1.0,0.0
3914,78758,06/28/18,Trash - Curbside/Alley Missed Pickup,this seems to happen a couple times a year and i don?t understand - i put it out at 6:40 am on wednesday morning -,1537 harding pl,37215,red river,3303,34.0,1726739.3009136,640650.34669103,15.0,2800.0
3915,78760,06/28/18,Trash - Curbside/Alley Missed Pickup,missed has become a regular occurrence.,1708 shackleford rd,37215,red river,3302,25.0,1730616.09912579,644694.939815622,4.0,600.0
3916,78762,06/28/18,Trash Collection Complaint,"missed pick up all the time 
please call 615-957-5066 wants resolved. mrs hardnett said every other week we miss her trash. please investigate.",1334 rosedale ave,37207,metro,9203,5.0,1744969.0833082,678800.603553871,6.0,1000.0
3917,78763,06/28/18,Trash - Backdoor,backdoor missed and now a dog has gotten in it and need driver to pickup trash on deck,64 e thompson ln,37211,red river,4304,16.0,1753309.58123679,647698.830578337,7.0,1200.0
3918,78773,06/28/18,Trash - Curbside/Alley Missed Pickup,"file compliant trash miss 2 weeks now with today thursday. unit-b {truck does not come to dead end, 2 homes missed. alley",626 benton ave b,37204,metro,9406,17.0,1740796.64911538,655658.287481592,1.0,0.0
3919,78829,06/28/18,Trash - Curbside/Alley Missed Pickup,4 carts missed,138 postwood pl,37205,red river,2302,24.0,1716828.35188983,654011.875411259,1.0,0.0
3920,78834,06/28/18,Trash - Curbside/Alley Missed Pickup,missed- trash,73 thompson ln,37211,red river,4304,16.0,1752363.06257916,647332.453805474,3.0,400.0
3921,78841,06/28/18,Trash - Curbside/Alley Missed Pickup,cart still out,316 radnor st b,37211,red river,4304,16.0,1749520.33604925,645951.297921544,2.0,200.0
3922,78846,06/28/18,Trash - Curbside/Alley Missed Pickup,this alley missed,5406 louisiana ave,37209,metro,9302,20.0,1716468.54222106,666777.70417032,2.0,200.0
3923,78847,06/28/18,Trash - Curbside/Alley Missed Pickup,"trash/miss for 2 weeks, wednesday pickup. curb {wants cart emptied asap}",98 oceola ave,37209,red river,2301,20.0,1714769.3924568,659522.537334733,1.0,0.0
3924,78848,06/28/18,Trash - Curbside/Alley Missed Pickup,the trash was not picked up. all items were bagged and inside the cart. please pick up asap.,1831 glade st,37207,red river,3202,2.0,1737260.44075241,681622.021785132,1.0,0.0
3925,78853,06/28/18,Trash - Curbside/Alley Missed Pickup,several missed,4820 fairmeade ct,37218,red river,3203,1.0,1722265.93046293,689538.503666439,4.0,600.0
3926,78875,06/28/18,Trash - Curbside/Alley Missed Pickup,missed.,1301 dickerson pike,37207,metro,9207,5.0,1740695.53250278,678440.901769831,3.0,400.0
3927,78877,06/28/18,Trash - Curbside/Alley Missed Pickup,missed pick up.,2101 golf club ln,37215,red river,2305,25.0,1729060.24153211,650528.824158965,3.0,400.0
3928,78886,06/28/18,Trash - Curbside/Alley Missed Pickup,missed,3009 buenaview blvd,37218,red river,3204,1.0,1725300.83207372,690678.57152844,1.0,0.0
3929,78889,06/28/18,Trash - Curbside/Alley Missed Pickup,missed entire street,6402 highway 100,37205,red river,1302,23.0,1709575.52867289,641979.29559235,1.0,0.0
3930,78891,06/28/18,Trash - Curbside/Alley Missed Pickup,missed .,121 gilman ave,37205,red river,1302,34.0,1711080.32927404,642257.697073612,1.0,0.0
3931,78900,06/28/18,Trash - Curbside/Alley Missed Pickup,missed/,1403 jones ave,37207,metro,9203,5.0,1744586.73409706,679095.301080531,1.0,0.0
3932,78899,06/28/18,Trash - Curbside/Alley Missed Pickup,trash/missed thursday {court/dead end} pickup everyone else.,420 haywood ct n,37211,red river,3405,30.0,1758933.93705678,632735.294141641,1.0,0.0
3933,78918,06/28/18,Trash - Curbside/Alley Missed Pickup,missed- entire street plus other streets in same area have been missed,1101 glenwood ave,37204,red river,3302,25.0,1733724.33346048,643948.896811497,1.0,0.0
3934,78930,06/28/18,Trash - Curbside/Alley Missed Pickup,"the trash collector told me that he wouldn?t pick up carts on my side of the road due to a low hanging power line. i sent a request to have it raised. even now that it?s raised, he still won?t pick up the carts on my side of the road. my cart is still sitting out and ready for pickup.",3215 southlake court,37211,,,16.0,1752690.32991363,645231.578985656,1.0,0.0
3935,78933,06/28/18,Trash - Curbside/Alley Missed Pickup,cart still out,2101 20th ave s,37212,metro,9308,18.0,1732107.48561153,655513.881596728,1.0,0.0
3936,78941,06/28/18,Trash Collection Complaint,she is disabled and cannot pick up her cart from the ditch every week. she needs the driver to leave it curbside where she leaves it for collection. would like supervisor to address the driver.,714 desmond dr,37211,red river,4302,26.0,1745375.78407982,638144.645021351,1.0,0.0
3937,78961,06/28/18,Trash - Curbside/Alley Missed Pickup,overflowiing hasn't been picked up in 2 weeks.,600 rowan ct,37207,red river,3205,2.0,1730175.54212802,688073.201089348,1.0,0.0
3938,78962,06/28/18,Trash - Backdoor,missed,163 wheeler ave,37211,red river,4304,16.0,1754530.20030157,641996.994642707,7.0,1200.0
3939,78963,06/28/18,Trash - Curbside/Alley Missed Pickup,"it looks like our entire street did not have trash collected as scheduled on tuesday. we left our bins out again yesterday, as did many of our neighbors, but trash still has not been collected. our 2nd bin was lost in a flood last year and we asked for a replacement and never got one, so we really, really cannot have a missed pickup without causing major issues for our household.",457 ewing ln,37207,red river,3201,2.0,1735297.93539024,692315.30392527,1.0,0.0
3940,78970,06/28/18,Trash - Backdoor,backdoor/trash missed pickup wednesday. {needs smaller truck to come in her},6313 harding pike,37205,red river,1303,23.0,1707540.00497563,641755.964994615,5.0,800.0
3941,78974,06/28/18,Trash - Backdoor,missed last week also,2204 24th ave n,37208,metro,9205,2.0,1727910.34172705,676301.964113582,2.0,200.0
3942,78975,06/28/18,Trash - Curbside/Alley Missed Pickup,"missed- trash/cart are in the alley. tuesday"" this happens often needs emptied.",872 sharpe ave,37206,metro,9203,5.0,1745335.33735262,676937.480557801,6.0,1000.0
3943,78985,06/28/18,Trash - Curbside/Alley Missed Pickup,missed entire street,452 ewing ln,37207,red river,3201,2.0,1735737.755799,692441.467233517,3.0,400.0
3944,79000,06/28/18,Trash Collection Complaint,trash guys continue to miss the trash collection- says that everything is in compliance and out on time. he needs a supervisor to call him so this issue can be resolved immediately.,1401 montgomery ave,37207,metro,9203,5.0,1745651.83827603,678827.617727106,3.0,400.0
3945,79002,06/28/18,Trash - Curbside/Alley Missed Pickup,our trash was not picked up. we had it out the night before and everything was bagged. please come and pick-up.,3803 rolland rd,37205,red river,2304,24.0,1722930.30477047,654279.737588313,1.0,0.0
3946,79019,06/28/18,Trash - Curbside/Alley Missed Pickup,"alley trash miss for weeks and cart stays in alley way, check for others.",940 31st ave n a,37209,waste ind,3307,21.0,1725516.4119734,666898.874505372,1.0,0.0
3947,79043,06/28/18,Trash - Curbside/Alley Missed Pickup,missed...also missed neighbors...carts are together,131 postwood pl,37205,red river,2302,24.0,1716774.09705853,653871.092209251,1.0,0.0
3948,79060,06/28/18,Trash - Curbside/Alley Missed Pickup,entire street missed on selena,79 thompson ln,37211,red river,4304,16.0,1752060.43902323,647355.037012244,2.0,200.0
3949,79066,06/28/18,Trash - Curbside/Alley Missed Pickup,they missed us today...still has not been picked up. homeowner called back.,2005 beechwood ave,37212,metro,9308,18.0,1731508.61757945,653741.352466874,3.0,400.0
3950,79082,06/28/18,Trash - Curbside/Alley Missed Pickup,missed for appx 1 month per caller- alley pick up...at the end of road. cart is full.,805 w greenwood ave,37206,metro,9203,5.0,1745431.53353653,677443.302586685,1.0,0.0
3951,79085,06/28/18,Trash - Curbside/Alley Missed Pickup,missed,407 huntington ridge dr,37211,red river,3402S,27.0,1752794.18273676,626091.629054833,1.0,0.0
3952,79100,06/28/18,Trash - Curbside/Alley Missed Pickup,"for the second week in a row, my trash was not picked up from the alley. i now have a full can and no way to dispose of household trash. i need to have someone pick up my trash asap.",308 timmons st,37211,red river,4304,16.0,1749179.02485853,646797.929617326,2.0,200.0
3953,79103,06/28/18,Trash - Backdoor,missed pick up - backdoor,110 dodge dr,37210,red river,4303,16.0,1753535.53655737,651266.497516711,3.0,400.0
3954,79104,06/28/18,Trash - Curbside/Alley Missed Pickup,missed.,118 keyway dr,37205,red river,1304,23.0,1710433.12869281,644984.897728555,1.0,0.0
3955,79120,06/28/18,Trash - Curbside/Alley Missed Pickup,"this is a 6 unit townhouse complex, trash was not picked up",213 burns ave,37203,metro,9307,21.0,1725871.53192714,660012.13078275,3.0,400.0
3956,79123,06/28/18,Trash - Curbside/Alley Missed Pickup,"bin was out night prior to pick-up, but trash was not picked up.",1310 15th ave s,37212,metro,9407,17.0,1734987.91047371,658886.10033078,1.0,0.0
3957,79150,06/29/18,Trash - Curbside/Alley Missed Pickup,several missed,605 village trace ct,37211,red river,4402,27.0,1750597.11533034,624030.443008005,1.0,0.0
3958,79195,06/29/18,Trash - Backdoor,miss,1061 antioch pike,37211,red river,1404,16.0,1758744.43738598,643070.73284762,3.0,400.0
3959,79201,06/29/18,Trash - Curbside/Alley Missed Pickup,missed- trash,5728 spring house way,37027,red river,2402,4.0,1744134.25737796,623042.897871774,1.0,0.0
3960,79202,06/29/18,Trash - Curbside/Alley Missed Pickup,the whole street was missed,448 ewing ln,37207,red river,3201,2.0,1735889.32873272,692544.291948025,2.0,200.0
3961,79208,06/29/18,Trash - Curbside/Alley Missed Pickup,missed,1700 primrose ave,37212,metro,9402,18.0,1733075.30845221,651417.607367178,2.0,200.0
3962,79224,06/29/18,Trash - Curbside/Alley Missed Pickup,missed- trash,3035 nolensville pike,37211,metro,9408,16.0,1749161.73979416,645687.737977677,2.0,200.0
3963,79229,06/29/18,Trash - Curbside/Alley Missed Pickup,missed- trash,3035 nolensville pike,37211,metro,9408,16.0,1749161.73979416,645687.737977677,2.0,200.0
3964,79231,06/29/18,Trash - Curbside/Alley Missed Pickup,entire street was missed for pick up on tuesday morning,448 ewing ln,37207,red river,3201,2.0,1735840.33495953,692533.705478516,2.0,200.0
3965,79246,06/29/18,Trash - Curbside/Alley Missed Pickup,missed,5548 trousdale dr,37027,red river,2402,4.0,1743833.4036207,623829.259536457,1.0,0.0
3966,79259,06/29/18,Trash - Curbside/Alley Missed Pickup,cart still out,513 moore ave,37203,waste ind,2408,17.0,1742435.97365537,657447.317011701,1.0,0.0
3967,79265,06/29/18,Trash Collection Complaint,this is the 5th or 7th time in the past 2 months i've had to request a pick up for missed service. i'm tired of doing this and feel discriminated against. no-one had been able to solve this problem for me. i would appreciate a remedy and an explanation. alley wants this matter correct asap {wants higher up to contact her asap about this matter/trash again}.,1903 shelby ave,37206,metro,9508,6.0,1750944.67586416,669431.712097704,4.0,600.0
3968,79266,06/29/18,Trash - Curbside/Alley Missed Pickup,missed- trash,4844 shasta dr,37211,red river,1404,26.0,1756664.75698336,638447.304799548,4.0,600.0
3969,79279,06/29/18,Trash - Curbside/Alley Missed Pickup,curb trash/miss for everyone on this street 2904 selena dr,2904 selena dr,37211,red river,4304,16.0,1752234.14248238,647121.97916125,1.0,0.0
3970,79302,06/29/18,Trash - Curbside/Alley Missed Pickup,"there were enough bags in cart that the lid wouldn't close all the way, but all items were bagged and fully inside the cart.",1504 elmwood ave,37212,metro,9403,18.0,1734576.3335766,653816.098583842,2.0,200.0
3971,79308,06/29/18,Trash - Backdoor,missed backdoor pick up,1505 shackleford rd,37215,red river,3302,25.0,1731739.40371554,644416.328234365,1.0,0.0
